id,observed_on_string,observed_on,time_zone,out_of_range,created_at,updated_at,quality_grade,url,tag_list,description,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
119641,"December 28, 2011 14:47",2011-12-28,Berlin,,2012-09-05 19:40:36 UTC,2019-05-09 04:28:14 UTC,research,http://www.inaturalist.org/observations/119641,"",Fork-leaved Sundew (Drosera binata),0,false,"Fiordland, Southland, New Zealand",-45.4915,167.632166,,,open,false,,,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
119841,"November 12, 2005 19:49",2005-11-12,Pacific Time (US & Canada),,2012-09-06 03:47:03 UTC,2019-05-09 04:28:21 UTC,research,http://www.inaturalist.org/observations/119841,"","<i>Drosera arcturi</i> (Sundew) - Key Summit, Routeburn Track, Fiordland National Park

Members of Drosera secrete a sticky substance from their leaves that traps prey

http://en.wikipedia.org/wiki/Droseraceae

i111505 045",0,false,"Southland, New Zealand",-44.73393,168.24583,,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
941595,2012-03-21,2012-03-21,Auckland,,2012-08-27 22:50:14 UTC,2017-09-22 05:25:56 UTC,research,http://naturewatch.org.nz/observations/338694,"",,0,false,"Lake Hawdon, Canterbury",-43.099709212,171.847002627,,,,false,,,Utricularia dichotoma,Utricularia dichotoma,fairy aprons,Plantae,123241
944649,"October 31, 2001 11:04",2001-10-31,Auckland,,2012-09-18 10:55:32 UTC,2017-09-25 19:39:37 UTC,research,http://naturewatch.org.nz/observations/341772,"fruiting, carnivorous plant","Amber Sciligo says this is most consistent with:

Drosera auriculata (Droseraceae)

(apparently D. auriculata has smooth sepals and D. peltata has hairy sepals) Plant Droseraceae native


Huia Dam road, Waitakere Ranges, Auckland Region, New Zealand

photo taken with Nikon Coolpix 990",0,false,"Huia Dam Road, Waitakere Ranges, Auckland, New Zealand",-36.972505,174.559861,,,,false,,,Drosera auriculata,Drosera auriculata,Tall sundew,Plantae,424565
945346,"January 10, 2008 14:03",2008-01-10,Auckland,,2012-10-03 04:16:47 UTC,2019-05-09 04:29:13 UTC,research,http://naturewatch.org.nz/observations/342472,"flower buds, bog, alpine, wetland","Carnivorous plants!

<em>Drosera spatulata</em> growing with <em>Drosera arcturi</em> and nearby <em>Drosera stenopetala</em>.
",0,false,"Temple Basin skifield road, Arthur's Pass, Canterbury, New Zealand",-42.91054,171.563728,,,,false,,,Rosy Sundew,Drosera spatulata,Rosy Sundew,Plantae,122208
945347,"January 10, 2008 14:00",2008-01-10,Auckland,,2012-10-03 04:19:41 UTC,2019-05-09 04:29:19 UTC,research,http://naturewatch.org.nz/observations/342473,"immature fruit, bog, alpine, wetland","Carnivorous plants!

<i>Drosera arcturi</i> sundews in action.",0,false,"Temple Basin skifield road, Arthur's Pass, Canterbury, New Zealand",-42.91054,171.563728,,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
945348,"January 10, 2008 14:00",2008-01-10,Auckland,,2012-10-03 04:22:24 UTC,2019-05-09 04:29:27 UTC,research,http://naturewatch.org.nz/observations/342474,"immature fruit, bog, alpine, wetland","Carnivorous plants!

<em>Drosera stenopetala</em> sundews growing near <em>Drosera arcturi</em> and <em>Drosera spatulata</em>. <em>Drosera stenopetala</em> was the least abundant of the three at this site.
",0,false,"Temple Basin skifield road, Arthur's Pass, Canterbury, New Zealand",-42.91054,171.563728,,,,false,,,Drosera stenopetala,Drosera stenopetala,,Plantae,401564
946094,"April 11, 2002 13:28",2002-04-11,Auckland,,2012-10-26 02:20:43 UTC,2019-05-16 23:42:10 UTC,research,http://naturewatch.org.nz/observations/343228,"flower colour yellow, flowering","The naturalised carnivorous plant, <em>Utricularia gibba</em>, growing wild in the wetlands of Ohaka heads, Whatipu beach.

Note the photo of the ""roots"" in the water with the pale bladders that suck up passing invertebrates to digest.",0,false,"Ohaka heads, Whatipu beach, Waitakere Ranges, Auckland, New Zealand",-37.022832,174.482337,,,open,false,,,humped bladderwort,Utricularia gibba,humped bladderwort,Plantae,79464
946541,"December 28, 2011 15:52",2011-12-28,Auckland,,2012-11-08 08:02:31 UTC,2019-05-09 04:29:33 UTC,research,http://naturewatch.org.nz/observations/343678,"wetland, subalpine",,0,false,"Dobson Nature Walk, Arthur's Pass, Canterbury, New Zealand",-42.907657,171.558014,,,,false,,,Drosera arcturi,Drosera arcturi,,Plantae,54678
946663,2012-11-08,2012-11-08,Auckland,,2012-11-10 04:30:43 UTC,2019-05-09 04:29:39 UTC,research,http://naturewatch.org.nz/observations/343800,"Travis Wetland, Sundew, Drosera","I've been lucky enough to be introduced to the carnivorous Travis Sundew.
They are a delicate matchstick sized plant with an interesting ""lifestyle""
Can one of you knowledgeable people please give me the correct ID for this little plant
Cheers",0,false,Travis Wetland,-43.484858962,172.6975859233,,,open,false,,,Fork-leaved Sundew,Drosera binata,Fork-leaved Sundew,Plantae,54684
